,Rank,Name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,Description,Related_anime,Voice_actors
4476,4477,Tonde Mon Pe,TV   ,42.0,TMS Entertainment,,"Slice of Life, Childcare, Family Friendly, Original Work",3.54,1982.0,"""Monpe Hanamura is a maid in the house of top designer Maki Kano. There is a baby named Pe-chan between Maki and the novelist's husband, Takashi, but in reality, this child was a super baby with supernatural powers that could float things and give life to stuffed animals. Monpe is busy every day, being swayed by Pe-chan's mischief, along with Nandarou, a stuffed toy. With the addition of Mr. Kamada, who is next door, the Kano family is still here today.""",,"Monpe Hanamura : Fusako Amachi, Pe-Chan : Mariko Mukai, Lady Kamata : Kazue Takahashi, Noboru Tatsuike
Art Director"
4482,4483,Chibi Maruko-chan Movie: Italia kara Kita Shounen,Movie,,Nippon Animation,,"Comedy, Shoujo, Slice of Life, Family Friendly, Based on a Manga",3.54,2015.0,'No synopsis yet - check back soon!',"Chibi Maruko-chan, Chibi Maruko-chan Movie, Chibi Maruko-chan: Watashi no Suki na Uta, Chibi Maruko-chan (1995)","Momoko Sakura : Tarako Isono, Momoko Sakura
Original Creator, Jun Takagi
Director"
4484,4485,Tamayura,OVA  ,4.0,Hal Film Maker,,"Slice of Life, Iyashikei, Photography, Original Work",3.54,2010.0,"'A photograph is a mysterious force that creates magical moments the instant the shutter closes and allows people’s hearts to connect. For the new girl in town, Fuu Sawatari, this is more than a saying but a way of life as she spends her days quietly attempting to capture those special instances on film and use them to bring others joy. Along with her friends – and her beloved camera – Fuu reminisces about her father, begins to contemplate where her future lies and wonders whether she can capture more of the mysterious Tamayura light bubbles in her photos filled with warmth and friendship.'","Tamayura: Hitotose, Tamayura: Hitotose Special, Tamayura: More Aggressive Picture Drama, Tamayura: More Aggressive, Tamayura: More Aggressive OVA, Tamayura: Sotsugyou Shashin Movie 1 - Kizashi, Tamayura: Sotsugyou Shashin Movie 2 - Hibiki, Tamayura: Sotsugyou Shashin Movie 3 - Akogare, Tamayura: Sotsugyou Shashin Movie 4 - Ashita","Fuu Sawatari : Ayana Taketatsu, Kaoru Hanawa : Kana Asumi, Kou Sawatari : Kanako Miyamoto, Maon Sakurada : Yuko Gibu, Norie Okazaki : Yuka Iguchi, Riho Shihomi : Erino Hazuki, Sayomi Hanawa : Sayaka Oohara, Chimo Yakusa : Miyu Matsuki, Junichi Satou
Director & Original Creator, Nobuyuki Nakajima
Music, Haruko Iizuka
Character Design, Asuka Yamazaki
Producer, Hidemasa Tasaka
Producer, Kentarou Kai
Producer, Shousei Itou
Producer, Shigehiro Kurita
Producer"
4491,4492,REC Special,DVD S,,SHAFT,,"Comedy, Romance, Seinen, Slice of Life, Adult Couples, Mature Romance, Based on a Manga",3.54,2006.0,'No synopsis yet - check back soon!',REC,"Aka Onda : Kanako Sakai, Fumihiko Matsumaru : Makoto Yasumura, Tanaka : Kimiko Koyama, Yoshio Hatakeda : Daisuke Ono, Q-Taro Hanamizawa
Original Creator, Ryuutarou Nakamura
Director, Kei Haneoka
Music, Hideyuki Morioka
Character Design, Takumi Fujimori
Producer, Mitsuteru Shibata
Producer, Yoshihisa Nakayama
Producer, Shinichi Nakamura
Producer"
4503,4504,Holmes of Kyoto,TV   ,12.0,Seven,Summer,"Drama, Mystery, Slice of Life, Based on a Light Novel",3.54,2018.0,"'Holmes, a young man whose family runs an antique shop in Kyoto, has the unique ability to read people and instantly distinguish genuine and high value antiques. When a local high school student, Aoi Maki, starts working alongside Holmes, together they begin to unravel the many mysteries surrounding the antiques brought to the shop.'",,"Aoi Mashiro : Miyu Tomita, Kiyotaka Yagashira : Kaito Ishikawa, Akihito Kajiwara : Ryouhei Kimura, Enshou : Kouji Yusa, Rikyuu Takiyama : Sanae Kobayashi, Seiji Yagashira : Rikiya Koyama, Aigasa Kurisu, Ayako Kajiwara, Tokihiro Sasaki
Director, Akito Matsuda
Music, Yousuke Itou
Character Design, Ryuuichirou Kawasaki
Producer, Kouji Akio
Producer, Naoki Ishihara
Producer, Taiga Itou
Producer, Gou Morita
Producer"
4523,4524,Yokohama Kaidashi Kikou,OVA  ,2.0,Ajia-do,,"Seinen, Slice of Life, Androids, Countryside, Iyashikei, Non-Human Protagonists, Robots, Based on a Manga",3.54,1998.0,"""In a quaint Japanese town, far from the footprints of tourists, an abandoned robot named Alpha lives a quiet life, while running a coffee shop left by her previous owner. With hardly a customer from day to day, she tends to focus on life's little pleasures, while sporadically wishing for her master's return. But one day, a delivery-robot brings Alpha a camera, and through the pictures inside, her eyes are opened for the first time to the world around her.""",Yokohama Kaidashi Kikou: Quiet Country Cafe,"Alpha Hatsuseno : Hekiru Shiina, Doctor : Ikuko Sugita, Kokone Takatsu : Akiko Nakagawa, Oji-San : Mikio Terashima, Takahiro : Akio Suyama, Hitoshi Ashinano
Original Creator, Takashi Annou
Director, Gontiti
Music, Atsushi Yamagata
Character Design, Yuuko Kobari
Color Design"
4526,4527,The Day I Became a God,TV   ,12.0,P.A. WORKS,Fall ,"Comedy, Drama, Slice of Life, Supernatural, Original Work",3.54,2020.0,"'Yota Narukami is a high schooler who planned to spend his last summer vacation like most others: preparing for his university entrance exams. But when a young girl named Hina approaches him saying she’s a god, his summer vacation suddenly becomes anything but ordinary.'",,"Hina Satou : Ayane Sakura, Youta Narukami : Natsuki Hanae, Ashura Kokuhou : Ryouhei Kimura, Hiroto Suzuki : Chiharu Shigematsu, Kako Tengan : Yu Shimamura, Kyouko Izanami : Yui Ishikawa, Sora Narukami : Yuuki Kuwahara, Aira : Hikaru Tono, Jun Maeda
Music & Original Creator & Screenplay & Song Composition & Song Lyrics, Yoshiyuki Asai
Director, Manyo
Music, Manabu Nii
Character Design, Michio Fukuda
Storyboard"
4528,4529,A-Channel + smile,OVA  ,2.0,Studio Gokumi,,"Comedy, Seinen, Slice of Life, Based on a Manga",3.54,2012.0,"'More fun is in store for Yuuko, Tooru and the rest of the gang! First, Kitou-sensei manages to hurt her hand while teaching math class, and Tooru attempts to smuggle her cat into the school to meet her friends. And after heading to breakfast to eat a mountain of pancakes, the girls must help out Yuuko, who gets a nasty fever!'","A-Channel, +A-Channel, A-Channel: Nabe wo Tabeyou","Nagisa Tennouji : Yumi Uchiyama, Run Momoki : Kaori Fukuhara, Tooru Ichii : Aoi Yuuki, Yuuko Nishi : Minako Kotobuki, Keiko Nishi : Yuka Iguchi, Kimiko Kitou : Minori Chihara, Miho Noyama : Momoko Saito, Yutaka Imai : Ai Matayoshi, Kuroda Bb
Original Creator, Manabu Ono
Director, Satoru Kousaki
Music, Masakatsu Sasaki
Character Design, Koujirou Hayashi
Photography Director, Hiroyuki Kobayashi
Producer, Toshihiro Maeda
Producer, Shinichirou Kashiwada
Producer"
4529,4530,NEKOPARA: Koneko no Hi no Yakusoku,Web  ,1.0,Felix Film,Summer,"Slice of Life, Animal Characteristics, Christmas, Based on an Eroge, Based on a Visual Novel",3.54,2018.0,"'About half a year before the opening of the patisserie, La Soleil where the catgirls work with Kashou. Back when Chocola and Vanilla were still kittens when they first arrived at the Minazuki household and before they opened up to the other catgirls.'","NEKOPARA, NEKOPARA TV","Chocola : Maki Tomonaga, Vanilla : Yuka Inokuchi, Azuki : Mia Naruse, Cinnamon : Tae Okajima, Coconut : Ryouko Tezuka, Kashou Minazuki : Shinnosuke Tachibana, Maple : Yui Ogura, Shigure Minazuki : Mai Nagai, Yuichi Hirano
Character Design"
4581,4582,Shoukoushi Cedie,TV   ,43.0,Nippon Animation,,"Drama, Slice of Life, 19th Century, England, Europe, Historical, World Masterpiece Theater, Based on a Novel",3.54,1988.0,"""The story concerns an American boy named Cedric Errol, who at an early age finds that he is the sole heir to a British earldom and leaves New York to take up residence in his ancestral castle. After some initial resistance, he is joined by his middle-class mother, widow of heir James Errol. His grandfather, the Earl of Dorincourt, intends to teach the boy to become an aristocrat, but Cedie inadvertently teaches his grandfather compassion and social justice, and the artless simplicity and motherly love of dearest warms the old man's heart.""",Shoukoushi Cedie Specials,"Cedric Errol : Ai Orikasa, Annie Errol : Tomoko Munakata, James Errol : Shinji Ogawa, John Arthur Molyneux Errol : Takeshi Watabe, Alec : Jou Fujimoto, Bob : Masako Katou, Catherine : Rei Sakuma, Eliza, Kouzou Kusuba
Director, Kouichi Morita
Music, Michiyo Sakurai
Character Design"
4591,4592,Aria the Origination Picture Drama,DVD S,,Hal Film Maker,,"Sci Fi, Shounen, Slice of Life, Ocean, Picture Drama, Based on a Manga",3.54,2008.0,"'When they’re not working as Undines, the girls of the Neo Venezia Gondolas like to take it easy and relax. Akari, Aika and Alice discuss love, life and ice cream during a pajama party at a hot spring, while Atora and the others\xa0buy too much food for lunch. With the girls attempting to win a game of soccer\xa0and telling ghost stories on a hot summer night, they manage to have the time of their lives no matter what they do.'",Aria the Origination,"Aika S. Granzchesta : Chiwa Saitou, Akari Mizunashi : Erino Hazuki, Alice Carroll : Ryou Hirohashi, Akatsuki Izumo : Hirofumi Nojima, Akira E. Ferrari : Junko Minagawa, Alicia Florence : Sayaka Oohara, Al Pitt : Akeno Watanabe, Athena Glory : Tomoko Kawakami"
4598,4599,Furiten-kun (1990),OVA  ,2.0,Knack,,"Comedy, Slice of Life",3.54,1990.0,'No synopsis yet - check back soon!',Furiten-kun,"Furiten Kanda, Hiroshi, Mrs. Yamaguchi, Sayuri, Yamaguchi, Yumiko"
4616,4617,Please tell me! Galko-chan,TV   ,12.0,feel.,Winter,"Comedy, Slice of Life, Gyaru, School Life, Short Episodes, Based on a Manga",3.53,2016.0,"'Galko, Otako and Ojou are a trio of unlikely friends in high school with three very different perspectives. Each episode embarks on a day in the life of a trendy girl, an otaku, and a lady, as they discuss their “girl problems.”'",Please tell me! Galko-chan OVA,"Galko : Azumi Waki, Ojou : Minami Takahashi, Otako : Miyu Tomita, Charao : Takahiro Sakurai, Otao : Yoshitsugu Matsuoka, Supoo : Daisuke Ono, Abesen : Yuuichi Nakamura, Agemi : Shizuka Ishigami, Kenya Suzuki
Original Creator, Keiichirou Kawaguchi
Director, Ryou Takahashi
Music, Kenji Fujisaki
Character Design, Shou Tanaka
Producer, Terushige Yoshie
Producer, Noritomo Isogai
Producer, Takashi Hijikata
Producer"
4617,4618,KINMOZA! Movie: Thank You!!,Movie,,Studio Gokumi,,"Comedy, Seinen, Slice of Life, Iyashikei, School Life, Based on a 4-Koma Manga, Based on a Manga",3.53,2021.0,'No synopsis yet - check back soon!',"KINMOZA!, Hello!! KINMOZA!, KINMOZA! Pretty Days","Alice Cartelet : Manami Tanaka, Aya Komichi : Risa Taneda, Karen Kujou : Nao Touyama, Shinobu Oomiya : Asuka Nishi, Youko Inokuma : Yumi Uchiyama, Akari Kuzehashi : Saori Oonishi, Honoka Matsubara : Ayaka Suwa, Isami Oomiya : Yukari Tamura, Munenori Nawa
Director, Ruka Kawada
Music, Kazuyuki Ueta
Character Design"
4653,4654,Someday's Dreamers II Sora,TV   ,12.0,Hal Film Maker,Summer,"Drama, Shounen, Slice of Life, Apprenticeship, Magic, Magic School, School Life, Based on a Manga",3.53,2008.0,"""Sora Suzuki is a girl who, like her late father, has the ability to use magic. Though she's always lived in the countryside, Sora is on her way to Tokyo where she'll undergo a summer apprenticeship. Unless she does so, she can't become a registered mage - a magic user who can take job requests from clients. Moving to the big city, making new friends and succeeding at her training could prove challenging, but with determination and a positive attitude Sora intends to overcome these obstacles and make the most out of her summer in the process.""",Someday's Dreamers,"Gouta Midorikawa : Tomoaki Maeno, Sora Suzuki : Kana Hanazawa, Hiyori Yamabuki : Mikako Takahashi, Honomi Asagi : Marina Inoue, Kouji Kuroda : Daisuke Namikawa, Saori Shiraishi : Urara Takano, Seiichirou Hara : Rikiya Koyama, Fuune Momozono : Mami Kingetsu, Norie Yamada
Original Creator, Osamu Kobayashi
Director, Takefumi Haketa
Music, Yuusuke Yoshigaki
Character Design, Hisaharu Iijima
Art Director, Naomi Sudou
Producer, Akio Matsuda
Producer, Noboru Sugiyama
Producer"
4677,4678,My Neighbors The Yamadas,Movie,,Studio Ghibli,,"Comedy, Slice of Life, Family Friendly, Family Life, Based on a 4-Koma Manga, Based on a Manga",3.53,1999.0,"'The Yamadas\xa0are an ordinary suburban family that enjoy shopping together, watching TV together, and sharing meals just like anyone else. Or so we think! With grumpy grandma Shige wisecracking at the worst times, and Mummy and Daddy Yamada testing each other’s patience at every turn, no family moment ends without a fascinating mishap. But nobody chooses their family, so the Yamadas must learn to savor the joys, forgive each other’s mistakes and, above all, learn lessons that only make them stronger.'",Nono-chan,"Matsuko Yamada : Yukiji Asaoka, Noboru Yamada : Hayato Isobata, Nonoko Yamada : Naomi Uno, Shige Yamano : Masako Araki, Takashi Yamada : Touru Masuoka, Isao Takahata
Director, Akiko Yano
Music, Shinji Hashimoto
Key Animator, Shinya Oohira
Key Animator"
4697,4698,Manabi Straight! Special,DVD S,,ufotable,,"Comedy, Slice of Life",3.53,2007.0,"'It’s summer, and while most teenagers are off enjoying the holiday, the Seioh Student Council has decided to take a special camping trip – but first they need the money for it. Though the group starts working at cleaning a swimming pool to fund their excursion, it doesn’t take long for them to be distracted by drinks, talk of why summer is special and, of course, water pistol fights! Despite their antics, they manage to get together the dough and embark on their great outdoors adventure – that is, if they don’t melt in the heat or get blown away by a typhoon...'",Gakuen Utopia Manabi Straight!,"Manabi : Yui Horie, Mei Etoh : Aya Hirano, Mika Inamori : Ai Nonaka, Momoha Odori : Saki Fujita, Mutsuki Uehara : Marina Inoue, Kyoko Kibukawa, Principal, Atsushi Ogasawara
Character Design, Tsuneo Takechi
Producer, Takahiro Yamanaka
Producer, Hikaru Kondo
Producer"
4711,4712,Love is Like a Cocktail Special,Web  ,1.0,Creators in Pack,Fall ,"Comedy, Romance, Slice of Life, Alcohol, Food and Beverage, Married Life, Recipes, Based on a Manga",3.53,2018.0,'No synopsis yet - check back soon!',Love is Like a Cocktail,"Chisato Mizusawa, Sora Mizusawa, Crystal Na Yousuke
Original Creator, Hisayoshi Hirasawa
Director, Yuzuko Hanai
Character Design"
4719,4720,Coffee Ikaga Deshou,Other,,Asura Film,,"Seinen, Slice of Life, Food and Beverage, Short Episodes, Based on a Manga",3.53,2018.0,"'The anime follows a coffee food truck shop, where the barista makes an individual cup for each customer. The coffee brewed conscientiously, sincerely, and wholeheartedly helps customers unwind.'",,"Eimi Kawakami
Producer & Director"
4764,4765,The Trapp Family Story,TV   ,40.0,Nippon Animation,,"Drama, Slice of Life, Age Gap, Boss-Employee Relationship, Childcare, Countryside, Europe, Family Friendly, Family Life, Historical, Lifestyle Change, Mansion, Music, Social Gap, War, World Masterpiece Theater, World War 2, Based on a Novel",3.52,1991.0,"""After traveling to Salzburg, Austria to join a strict catholic nunnery, Maria finds that she isn't adjusting to the life of a nun as easily as she'd like. Due to inevitable conflicts with other more stodgy nuns, Maria is soon shipped out to tutor the young daughter of Baron von Trapp – a recent widow with seven children. It is here, amidst the Alps, that Maria will learn a great deal about love, life, and herself.""",The Trapp Family Story Specials,"Agathe Von Trapp : Naoko Watanabe, Georg Von Trapp : Katsunosuke Hori, Hedwig Von Trapp : Maria Kawamura, Johanna Von Trapp : Hiromi Ishikawa, Maria Kutschera : Masako Katsuki, Maria Von Trapp : Yuri Shiratori, Martina Von Trapp : Saori Suzuki, Rupert Von Trapp : Shinobu Adachi, Kozo Kuzuha
Director, Kouzou Kusuba
Director, Shinsuke Kazato
Music, Shuichi Seki
Character Design, Takaji Matsudo
Producer, Minoru Wada
Producer, Jirou Saitou
Episode Director & Storyboard"
4780,4781,Saki: Episode of Side A - Kuro's Birthday,DVD S,,Studio Gokumi,,"Comedy, Ecchi, Shounen, Slice of Life, Based on a Manga",3.52,2015.0,'No synopsis yet - check back soon!',"Saki, Saki Picture Drama, Saki: Episode of Side A Specials, Saki: Episode of Side A, Saki: The Nationals, Saki Biyori","Ako Atarashi, Arata Sagimori, Harue Akado, Kuro Matsumi, Shizuno Takakamo, Yuu Matsumi, Ritz Kobayashi
Original Creator, Manabu Ono
Director, Masakatsu Sasaki
Character Design"
4823,4824,Tottoko Hamtarou Hai!,TV   ,77.0,Spring 2006,,"Slice of Life, Animal Protagonists, Family Friendly, Hamsters, Non-Human Protagonists, Pets, Short Episodes, Based on a Manga",3.52,2006.0,"'Tottoko Hamutaro Hai! is the sequel to Tottoko Hamutaro, or in English, Hamtaro. The series revolves around the 15 original Ham-Hams in short 5-minute episodes. The Hai! series is animated differently from the original series, most notably, the head-to-body ratio is off, and it is also computer-generated in 3-D.'",Hamtaro,"Bijou : Kazusa Murai, Boss : Kentarou Itou, Hamtaro : Kurumi Mamiya, Jingle : Yuu Asakawa, Maxwell : Takako Honda, Oxnard : Rikako Aikawa, Pashmina : Rei Sakuma, Penelope : Kaori Matoi"
4830,4831,Kyou no 5 no 2 (2009),OVA  ,4.0,XEBEC,,"Comedy, Seinen, Slice of Life, Short Episodes, Based on a Manga",3.52,2009.0,"'Through the seasons, the kids of class 5-2 manage to keep themselves entertained, whether they’re searching for summer pill bugs and attempting to find a way to race each other at the pool, or mourning the tragic end to “Leaf Satou-kun” when he falls off the balcony. But while the cold winter snow encourages vicious snowball fights, the warmth of spring brings about a change of pace in everyone... well, almost everyone.'","Kyou no 5 no 2, Kyou no 5 no 2: Kagai Jugyou - Mizukake, Kyou no 5 no 2 TV","Chika Koizumi : Asami Shimoda, Ryota Sato : Yuu Kobayashi, Kazumi Aihara : Mako, Kouji Imai : Megumi Yamato, Megumi Hidaka : Youko Honda, Natsumi Hirakawa : Kana Asumi, Tsubasa Kawai : Ayahi Takagaki, Yuki Asano : Satomi Akesaka, Coharu Sakuraba
Original Creator, Tsuyoshi Nagasawa
Director, Sunao Chikaoka
Character Design, Nakuru Yamatani
Producer"
4836,4837,Kariage-kun,TV   ,59.0,Toei Animation,,"Comedy, Slice of Life",3.52,1989.0,'This is a story of a young man named Kariage who works as an employee in a private company named Honnyara Industries.',,"Shota Kariage : Yoku Shioya, Kinoshita : Jouji Yanami, Masashi Ueda
Original Creator, Hiroki Shibata
Director, Shigeru Nishiyama
Editor"
4840,4841,NEKOPARA TV,TV   ,12.0,Felix Film,Winter,"Comedy, Slice of Life, Animal Characteristics, Cafe, Based on an Eroge, Based on a Visual Novel",3.52,2020.0,"'Kashou Minaduki, a son of a long line of Japanese confection makers, moved out to open his own patisserie ""La Soleil"". When unpacking his stuff, Kashou found two of the catgirls that his family had been raising hiding in the boxes: Chocola and Vanilla. He tried to send them back initially, but they begged and pleaded until he gave in. Now they run La Soleil together. They spent some great time with the help of Shigure, sister of Kashou, and other catgirls in their family: Azuki, Maple, Cinnamon and Coconut. One day, when Chocola goes out to run some errands, she meets a kitten. The story starts with their encounter...'","NEKOPARA, NEKOPARA: Koneko no Hi no Yakusoku","Azuki : Shiori Izawa, Cacao : Yuuka Morishima, Chocola : Yuki Yagi, Cinnamon : Yuri Noguchi, Coconut : Marin Mizutani, Maple : Miku Itou, Vanilla : Iori Saeki, Kashou Minazuki : Shinnosuke Tachibana, Yasutaka Yamamoto
Director, Akiyuki Tateyama
Music, Yuichi Hirano
Character Design, Kozue Kaneniwa
Producer, Satoshi Tanaka
Producer, Tomohito Naka
Producer, Aya Iizuka
Producer, Akira Takeuchi
Animation Director & Key Animator"
4846,4847,Kill Me Baby OVA,OVA  ,1.0,J.C.Staff,,"Comedy, Seinen, Slice of Life, Assassins, Gag, School Life, Slapstick, Based on a 4-Koma Manga, Based on a Manga",3.52,2013.0,"""The new episode will adapt eight previously-unanimated stories from Kaduho's original manga, including the Halloween story.""",Kill Me Baby,"Sonya : Mutsumi Tamura, Yasuna Oribe : Chinatsu Akasaki, Agiri Goshiki : Ai Takabe, Kaduho
Original Creator, Yoshiki Yamakawa
Director"
4848,4849,Mokke Specials,DVD S,,MADHOUSE,,"Seinen, Slice of Life, Countryside, Family Friendly, Iyashikei, Japanese Mythology, Siblings, Supernatural, Youkai, Based on a Manga",3.52,2008.0,"""The leaves are changing color and cold weather approaches. It's festival season, and the perfect time for Mitsuki and Shizuru to enjoy themselves with their grandparents. But unfortunately, the harsh wind leaves their grandmother laid up in bed sick, so it's time for the girls' mother to return and help around the house. With Mitsuki turning her back on Grammy and Shizuru becoming uncharacteristically angry with her younger sister, is there something more sinister at work in the Hibara household?""",Mokke,"Mizuki Hibara : Nana Mizuki, Shizuru Hibara : Ayako Kawasumi, Ojii-Chan : Katsunosuke Hori, Chitose Hibara, Obaa-Chan, Takatoshi Kumakura
Original Creator, Yoshihiro Ike
Music, Toshio Kawaguchi
Character Design, Touko Machida
Screenplay"
4851,4852,Tsukipro the Animation 2,TV   ,13.0,PRA,Summer,"Slice of Life, Idols, Music, Showbiz",3.52,2021.0,'Second season of Tsukipro the Animation.',TsukiPro the Animation,"Dai Murase : Yuuichirou Umehara, Eichi Horimiya : Koutarou Nishiyama, Ichiru Kuga : Shou Nogami, Issei Kuga : Shuugo Nakamura, Kensuke Yaegashi : Yoshitaka Yamaya, Kouki Etou : Shunichi Toki, Mamoru Fujimura : Junta Terashima, Morihito Arihara : Yuuki Ono, Shigeru Kimiya
Director"
4876,4877,Usagi no Matthew,TV   ,52.0,Kachidoki Studio,Spring,"Slice of Life, Animal Protagonists, Forest, Non-Human Protagonists, Rabbits, Short Episodes, Based on a Manga",3.51,2018.0,"""Matthew is a daydreaming worrywart of a rabbit. Matthew also has two friends: Keron, a pessimistic frog who is fond of good-luck charms; and Ham, a hamster of few words and who moves through life at his own pace. The story follows the three animals' everyday lives within a mysterious forest.""",,"Matthew : Ayana Taketatsu, Ham : Satomi Akesaka, Keron : Chihiro Kawakami, Jun Kanzaki
Director"
4905,4906,Special Duty Combat Unit Shinesman,OVA  ,2.0,Production I.G,,"Action, Comedy, Sci Fi, Slice of Life, Aliens, Parody, Power Suits, Sentai, Superheroes, Tokusatsu, Based on a Manga",3.51,1996.0,"""When Hiroya Matsumoto joined the Right Trading Company, he never thought he'd be anything more than a regular employee. But as it goes, he became the fifth member of a superhero team called the Shinesman. The Shinesman's mission is to defend the Earth against enemies from the Planet Voice. But amidst all this, Hiroya also has to look after his little brother, make a living, and do his superhero jobs clad in lame suits and equipped with equally lame weapons such as business cards! Can the Shinesman succeed in the face of utter comedy... I mean... terror?!""",,"Hiroya Matsumoto, Shiina Hekirunrun, Youta Matsumoto, Akihito Seki, Hitomi Kasahara, Kyouko Sakakibara, Riko Hidaka, Ryouichi Hayami, Kaimu Tachibana
Original Creator, Shinya Sadamitsu
Director, Yoshihiro Ike
Music, Akiharu Ishii
Character Design, Mitsuhisa Ishikawa
Producer, Kouji Yoritsune
Producer"
4911,4912,Chi's Sweet Adventure,TV   ,51.0,Marza Animation Planet,Fall ,"Adventure, Comedy, Seinen, Slice of Life, Animal Protagonists, Cats, Family Friendly, Non-Human Protagonists, Pets, Based on a Manga, CG Animation",3.51,2016.0,"'Chi is a sweet playful kitten who’s always full of energy. She lives with the loving Yamada family. Her daily routine is to drink milk, take naps, and go walk in the park.'","Chi's Sweet Home, Chi's New Address, Chi's Sweet Home OVA, Chi's Sweet Adventure 2nd Season","Chi Yamada : Satomi Koorogi, Kento Yamada : Makoto Yasumura, Kocchi : Motoko Kumai, Kuroi : Rikiya Koyama, Miwa Yamada : Maaya Sakamoto, Telly : Ryouko Shiraishi, Yohei Yamada : Ryouko Shiraishi, Ann : Fumiko Orikasa, Kanata Konami
Original Creator, Kiminori Kusano
Director & Character Design, Kenji Kondo
Music, Satoshi Kounosu
Character Design"
4945,4946,Misaki no Mayoiga,Movie,,David Production,,"Slice of Life, Based on a Novel",3.51,2021.0,"'A 17-year-old girl who is trying to find her place in the world begins a new life with people completely unrelated to her at a traditional Japanese house named ""Mayoiga"" from where one can see the sea and feel the touch of warmth and nostalgia.'",,"Yui : Mana Ashida, Hiyori : Sari Awano, Kiwa : Shinobu Ootake, Zashikiwarashi : Sally Amaki, Shinya Kawatsura
Director, Eriko Kimura
Sound Director"
4952,4953,Ocha-ken: Hotto Monogatari,TV   ,13.0,Winter 2006,,"Slice of Life, Short Episodes",3.51,2006.0,'No synopsis yet - check back soon!',"Ocha-ken: Chokotto Monogatari, Ocha-ken: Ryokutto Monogatari",Ryoku
4988,4989,Sazae-san: Dawn to Ikka de Hawaii Ryokou,TV Sp,,Eiken,,"Adventure, Slice of Life",3.51,1998.0,'No synopsis yet - check back soon!',Sazae-san,"Katsuo Isono, Namihei Isono, Sazae Fuguta, Tarao Fuguta, Wakame Isono, Fune Isono"
4992,4993,Let's Make a Mug Too 2nd Season,TV   ,12.0,Nippon Animation,Fall ,"Slice of Life, Art, School Club, Based on a Manga",3.51,2021.0,"""The second season of\xa0Let's Make a Mug Too.""",Let's Make a Mug Too,"Himeno Toyokawa, Mika Kukuri, Naoko Naruse, Toko Aoki, Himena Tokikawa, Juubee Aoki, Kamisama, Mami Koizumi, Jun Kamiya
Director, Ayano Yoshioka
Character Design"
4999,5000,Kiyo in Kyoto: From the Maiko House,TV   ,,J.C.Staff,Winter,"Shounen, Slice of Life, Boarding House, Cooking, Food and Beverage, Based on a Manga",3.51,2021.0,"'Kiyo and Sumire came to Kyoto from Aomori Prefecture, dreaming of becoming maiko. But after an unexpected turn of events, Kiyo starts working as the live-in cook at the Maiko House. Their story unfolds in Kagai, the Geiko and maiko district in Kyoto, alongside their housemate maikos. Kiyo nourishes them daily with her homecooked meals, and Sumire strives toward her promising future as the once-in-a-century maiko.'",,"Kiyo Nozuki : Kana Hanazawa, Sumire Herai : M.A.O., Kenta Nakanowatari : Minami Takayama, Mother : Kaoru Katakai, Tsurukoma : Satsumi Matsuda, Narrator : Sayaka Oohara, Otokoshi : Rikiya Koyama, Police Officer : Shinei Ueki, Aiko Koyama
Original Creator, Youhei Suzuki
Director, Susumu Yamakawa
Series Composition, Gou Sakabe
Music"
5028,5029,Figure 17,TV   ,13.0,OLM,Spring,"Drama, Sci Fi, Slice of Life, Aliens, Coming of Age, Countryside, Family Friendly, School Life, Original Work, Violence",3.51,2001.0,"'While transporting bio-weapon lifeforms, Agent DD, member of an alien police force, is forced to crash land on Earth. Amidst the chaos of the crash, a bio-weapon escapes and DD is forced to fight it, while accidentally activating a Liberus, a liquid battle suit. Tsubasa, a shy girl, unwillingly comes into contact with the Liberius and is thereafter forced to fight for the survival of Earth.'",,"Daisuke Domoto : Rikiya Koyama, Hikaru Shiina : Fumiko Orikasa, Tsubasa Shiina : Akiko Yajima, Asuka Karasawa : Ryouka Yuzuki, Hideo Shiina : Masamichi Sato, Kenta Hagiwara : Yuuko Katou, Noriko Ito : Naoko Takano, Oldina : Kikuko Inoue, Naohito Takahashi
Director, Toshihiko Takamizawa
Music, Yuriko Chiba
Character Design, Nobuhiro Oosawa
Producer, Shuukichi Kanda
Producer, Eiko Saitou
Animation Director & Key Animator"
5032,5033,"Three Leaves, Three Colors",TV   ,12.0,Doga Kobo,Spring,"Comedy, Seinen, Slice of Life, All-Girls School, School Life, Based on a 4-Koma Manga, Based on a Manga",3.51,2016.0,"'Futaba Odagiri is the energetic transfer student who befriends Teru Hayama, the class president who is meaner than she looks, and Youko Nishikawa, a former rich girl who still acts like a princess. Three very different girls who only share one thing: the kanji for leaf in their names. Balancing school and life is hard enough, but what about dealing with clashing personalities on top of it all?'","Three Leaves, Three Colors Specials","Futaba Odagiri : Mai Kanazawa, Teru Hayama : Ayaka Imamura, Youko Nishikawa : Yuu Wakui, Asako Kondou : Aina Suzuki, Kou Hayama : Asuka Nishi, Serina Nishiyama : Machico, Bel : Shiori Katsuta, Eternal : Tomomi Yoshikai, Cherry Arai
Original Creator, Yasuhiro Kimura
Director, Shuhei Mutsuki
Music, Jun Yamazaki
Character Design, Atsushi Yoshikawa
Producer, Touko Yatabe
Episode Director & Storyboard, Shin Wakabayashi
Storyboard, Saki Takahashi
Key Animator"
